Player Name
D. Edwards
R. Papenhuyzen
D. Laurie
W. Warbrick
I. Tago
J. Howarth
C. McLean
N. Meaney
B. To'o
G. Anderson
J. Luai
C. Munster
N. Cleary
J. Hughes
M. Leota
N. Asofa-Solomona
M. Kenny
H. Grant
J. Fisher-Harris
J. King
L. Smith
S. Blore
M. Geyer
E. Katoa
I. Yeo
T. Loiero
L. Henry
T. Wishart
T. Toelau
L. Vaalepu
M. Eisenhuth
T. Kamikamica
J. Cole
A. MacDonald
T. Trbojevic
C. Nicoll-Klokstad
J. Saab
D. Watene-Zelezniak
T. Talau
A. Pompey
R. Garrick
R. Tuivasa-Sheck
L. Hopoate
M. Montoya
L. Brooks
L. Metcalf
D. Cherry-Evans
S. Johnson
T. Paseka
A. Fonua-Blake
L. Croker
F. Lussick
J. Aloiai
M. Barnett
H. Olakau'atu
M. Niukore
B. Trbojevic
K. Capewell
J. Trbojevic
D. Walker
G. Chan Kum Tong
C. Harris-Tavita
E. Bullemor
T. Ale
N. Brown
J. Tevaga
T. Koula
D. Sifakula
J. Tedesco
C. Gutherson
D. Tupou
J. Tago
J. Sua'ali'i
W. Penisini
J. Manu
B. Talagi
D. Young
S. Russell
L. Keary
D. Brown
S. Walker
D. Asi
S. Leniu
R. Campbell-Gillard
B. Smith
B. Hands
L. Collins
W. Greig
A. Crichton
S. Lane
V. Radley
B. Cartwright
C. Watson
J. Ofahengaue
S. Tupouniua
J. Lussick
N. Whyte
K. Tuilagi
T. May
D. Keir
S. Wong
M. Sivo
C. Tracey
H. Tabuai-Fidow
J. Kiraz
J. Isaako
B. Xerri
J. Averillo
S. Crichton
H. Farnworth
J. Addo-Carr
J. Bostock
M. Burton
K. Nikorima
T. Sexton
I. Katoa
J. Curran
J. Bromwich
R. Mahoney
M. Plath
S. Hughes
R. Stone
V. Kikau
F. Kaufusi
J. Preston
C. Lemuelu
K. Mann
K. Bromwich
B. Hayward
T. Pangai Junior
K. Morrin
O. Keeley
H. Hayes
L. Hubner
J. Salmon
S. O'Sullivan
S. Drinkwater
K. Weekes
K. Feldt
S. Kris
V. Holmes
M. Timoko
V. Vailea
E. Strange
M. Taulagi
X. Savage
T. Dearden
A. Cook
J. Clifford
J. Fogarty
J. McLean
J. Tapine
R. Robson
T. Starling
S. McIntyre
A. Mariota
H. Luki
H. Young
K. Finefeuiaki
E. Whitehead
R. Cotter
M. Smithies
H. Edwards
J. Papalii
T. Mikaele
D. Levi
J. Purdue
E. Guler
G. Neame
S. Sasagi
H. Mason
J. Gray
L. Laulilii
F. Myers
S. Faataape
T. Milne
A. Doueihi
R. Kennar
C. Staines
J. Gagai
L. Galvin
J. Wighton
A. Sezer
C. Walker
S. Utoikamanu
D. Moale
A. Koroisau
D. Cook
D. Klemmer
S. Keppie
A. Seyfarth
K. Koloamatangi
S. Fainu
T. Duncan
I. Papali'i
C. Murray
T. Da Silva
P. Mamouzelos
S. Fainu
J. Host
F. Pole
T. Burgess
A. Twal
S. Mitchell
T. Sloan
K. Kini
Z. Lomax
A. Khan-Pereira
M. Feagai
B. Kelly
M. Feagai
P. Sami
C. Tuipulotu
J. Fifita
J. Bird
J. Campbell
B. Hunt
K. Foran
F. Molo
J. Jolliffe
J. Liddle
S. Verrills
B. Lawrie
E. Clark
L. Leilua
D. Fifita
J. Su'A
K. Haas
T. Eisenhuth
C. Randall
J. De Belin
A. Brimson
T. Couchman
I. Liu
R. Couchman
J. Pahulu
L. King-Togia
K. Palasia
W. Kennedy
K. Ponga
S. Katoa
F. Sharpe
J. Ramien
D. Gagai
S. Talakai
K. McCarthy
R. Mulitalo
G. Marzhew
D. Atkinson
T. Gamble
B. Brailey
P. Crossland
T. Rudolf
D. Saifiti
C. McInnes
J. Brailey
O. Kaufusi
L. Thompson
B. Nikora
T. Frizell
R. Hunt
K. Pearce-Paul
J. Williams
A. Elliott
J. Berrell
J. Cogger
B. Burns
M. Croker
B. Hamlin-Uele
J. Hetherington
T. Hau Tapuha
B. Jones
