Player Name
Fullback. is number 1 Jye Gray
Fullback. is number 1 Ryan Papenhuyzen
Winger. is number 2 Fletcher Myers
Winger. is number 2 Will Warbrick
Centre. is number 3 Taane Milne
Centre. is number 3 Jack Howarth
Centre. is number 4 Richard Kennar
Centre. is number 4 Nick Meaney
Winger. is number 5 Jacob Gagai
Winger. is number 5 Grant Anderson
Five-Eighth. is number 6 Jack Wighton
Five-Eighth. is number 6 Cameron Munster
Halfback. is number 7 Cody Walker
Halfback. is number 7 Jahrome Hughes
Prop. is number 8 Davvy Moale
Prop. is number 8 Tui Kamikamica
Hooker. is number 9 Damien Cook
Hooker. is number 9 Harry Grant
Prop. is number 10 Sean Keppie
Prop. is number 10 Josh King
2nd Row. is number 11 Cameron Murray
2nd Row. is number 11 Shawn Blore
2nd Row. is number 12 Michael Chee Kam
2nd Row. is number 12 Trent Loiero
Lock. is number 13 Keaon Koloamatangi
Lock. is number 13 Nelson Asofa-Solomona
Interchange. is number 14 Peter Mamouzelos
Interchange. is number 14 Tyran Wishart
Interchange. is number 15 Tallis Duncan
Interchange. is number 15 Lazarus Vaalepu
Interchange. is number 16 Thomas Burgess
Interchange. is number 16 Chris Lewis
Interchange. is number 17 Shaquai Mitchell
Interchange. is number 17 Alec MacDonald
Fullback. is number 1 Keano Kini
Fullback. is number 1 William Kennedy
Winger. is number 2 Alofiana Khan-Pereira
Winger. is number 2 Sione Katoa
Centre. is number 4 Phillip Sami
Centre. is number 3 Jesse Ramien
Centre. is number 18 AJ Brimson
Centre. is number 4 Kayal Iro
Winger. is number 5 Jojo Fifita
Winger. is number 5 Samuel Stonestreet
Five-Eighth. is number 6 Jayden Campbell
Five-Eighth. is number 6 Daniel Atkinson
Halfback. is number 7 Kieran Foran
Halfback. is number 7 Blayke Brailey
Prop. is number 8 Moeaki Fotuaika
Prop. is number 10 Oregon Kaufusi
Hooker. is number 9 Sam Verrills
Hooker. is number 9 Cameron McInnes
Prop. is number 15 Jaimin Jolliffe
Prop. is number 16 Toby Rudolf
2nd Row. is number 11 David Fifita
2nd Row. is number 11 Briton Nikora
2nd Row. is number 12 Klese Haas
2nd Row. is number 15 Siosifa Talakai
Lock. is number 13 Chris Randall
Lock. is number 13 Jack Williams
Interchange. is number 10 Erin Clark
Interchange. is number 8 Royce Hunt
Interchange. is number 14 Isaac Liu
Interchange. is number 14 Jayden Berrell
Interchange. is number 16 Josiah Pahulu
Interchange. is number 17 Thomas Hazelton
Interchange. is number 22 Tony Francis
Interchange. is number 20 Billy Burns
Fullback. is number 1 Clinton Gutherson
Fullback. is number 1 Daine Laurie
Winger. is number 2 Jake Tago
Winger. is number 2 Sunia Turuva
Centre. is number 3 Will Penisini
Centre. is number 3 Izack Tago
Centre. is number 4 Blaize Talagi
Centre. is number 4 Casey McLean
Winger. is number 5 Sean Russell
Winger. is number 5 Brian To'o
Five-Eighth. is number 6 Dylan Brown
Five-Eighth. is number 6 Jarome Luai
Halfback. is number 7 Daejarn Asi
Halfback. is number 7 Nathan Cleary
Prop. is number 8 Reagan Campbell-Gillard
Prop. is number 8 Moses Leota
Hooker. is number 9 Brendan Hands
Hooker. is number 9 Mitch Kenny
Prop. is number 10 Wiremu Greig
Prop. is number 15 Matthew Eisenhuth
