Player Number,Player
1,Ryan Papenhuyzen
22,Thomas Jenkins
2,Grant Anderson
2,Casey McLean
3,Jack Howarth
3,Izack Tago
4,Nick Meaney
4,Paul Alamoti
5,Xavier Coates
5,Brian To'o
6,Cameron Munster
6,Jack Cole
7,Jahrome Hughes
7,Nathan Cleary
8,Stefano Utoikamanu
8,Moses Leota
9,Harry Grant
9,Mitch Kenny
10,Josh King
10,Lindsay Smith
11,Shawn Blore
11,Scott Sorensen
12,Eliesa Katoa
12,Liam Martin
13,Trent Loiero
13,Isaah Yeo
14,Tyran Wishart
14,Brad Schneider
15,Alec MacDonald
15,Isaiah Papali'i
16,Tui Kamikamica
16,Liam Henry
22,Nelson Asofa-Solomona
17,Luke Garner
1,Charnze Nicoll-Klokstad
1,James Tedesco
2,Taine Tuaupiki
2,Daniel Tupou
3,Ali Leiataua
3,Mark Nawaqanitawase
4,Adam Pompey
4,Robert Toia
5,Roger Tuivasa-Sheck
5,Dominic Young
6,Chanel Harris-Tavita
6,Sandon Smith
7,Luke Metcalf
7,Chad Townsend
8,James Fisher-Harris
8,Spencer Leniu
9,Wayde Egan
9,Connor Watson
10,Mitchell Barnett
10,Naufahu Whyte
11,Kurt Capewell
11,Angus Crichton
12,Marata Niukore
12,Siua Wong
13,Erin Clark
13,Victor Radley
14,Dylan Walker
14,Zach Dockar-Clay
15,Jackson Ford
15,Salesi Foketi
16,Demitric Vaimauga
16,Blake Steep
17,Leka Halasima
17,Lindsay Collins
1,Reece Walsh
1,Scott Drinkwater
2,Selwyn Cobbo
2,Robert Derby
3,Deine Mariner
3,Jaxon Purdue
4,Gehamat Shibasaki
4,Viliami Vailea
5,Jesse Arthars
5,Murray Taulagi
6,Ben Hunt
6,Tom Dearden
7,Adam Reynolds
7,Jake Clifford
8,Patrick Carrigan
8,Jordan McLean
9,Cory Paix
9,Reece Robson
10,Payne Haas
10,Jason Taumalolo
11,Jack Gosiewski
11,John Bateman
12,Jordan Riki
12,Kai O'Donnell
13,Kobe Hetherington
13,Reuben Cotter
14,Billy Walters
14,Sam McIntyre
15,Corey Jensen
15,Jeremiah Nanai
16,Xavier Willison
16,Griffin Neame
17,Brendan Piakura
17,Coen Hess
1,William Kennedy
1,Jye Gray
2,Samuel Stonestreet
2,Isaiah Tass
3,Jesse Ramien
3,Jack Wighton
4,Kayal Iro
4,Campbell Graham
5,Ronaldo Mulitalo
5,Fletcher Myers
6,Braydon Trindall
6,Cody Walker
7,Nicholas Hynes
7,Jamie Humphreys
8,Addin Fonua-Blake
8,Sean Keppie
9,Blayke Brailey
9,Peter Mamouzelos
10,Oregon Kaufusi
10,Davvy Moale
11,Briton Nikora
11,Keaon Koloamatangi
12,Teig Wilton
12,Jai Arrow
13,Cameron McInnes
13,Tallis Duncan
14,Daniel Atkinson
14,Jayden Sullivan
15,Siosifa Talakai
15,Siliva Havili
16,Braden Hamlin-Uele
16,Liam Le Blanc
17,Tuku Hau Tapuha
17,Tevita Tatola
1,Hamiso Tabuai-Fidow
1,Jahream Bula
2,Jamayne Isaako
2,Sunia Turuva
3,Jake Averillo
3,Adam Doueihi
4,Herbie Farnworth
4,Starford To'a
5,Junior Tupou
5,Jeral Skelton
6,Kodi Nikorima
6,Lachlan Galvin
7,Isaiya Katoa
7,Jarome Luai
8,Daniel Saifiti
8,Terrell May
9,Jeremy Marshall-King
9,Apisai Koroisau
10,Felise Kaufusi
10,Fonua Pole
11,Oryn Keeley
11,Samuela Fainu
12,Max Plath
